Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTR,B365H,B365D,B365A,B365>2.5,B365<2.5
E0,2021-08-13,20:00:00,Brentford,Arsenal,2,0,1.0,0.0,H,H,4.0,3.4,1.95,2.1,1.72
E0,2021-08-14,12:30:00,Man United,Leeds,5,1,1.0,0.0,H,H,1.53,4.5,5.75,1.61,2.3
E0,2021-08-14,15:00:00,Burnley,Brighton,1,2,1.0,0.0,A,H,3.1,3.1,2.45,2.5,1.53
E0,2021-08-14,15:00:00,Chelsea,Crystal Palace,3,0,2.0,0.0,H,H,1.25,5.75,13.0,1.8,2.0
E0,2021-08-14,15:00:00,Everton,Southampton,3,1,0.0,1.0,H,A,1.9,3.5,4.0,2.0,1.8
E0,2021-08-14,15:00:00,Leicester,Wolves,1,0,1.0,0.0,H,H,1.66,3.8,5.25,2.09,1.84
E0,2021-08-14,15:00:00,Watford,Aston Villa,3,2,2.0,0.0,H,H,3.1,3.2,2.37,2.0,1.8
E0,2021-08-14,17:30:00,Norwich,Liverpool,0,3,0.0,1.0,A,A,9.0,5.75,1.3,1.53,2.5
E0,2021-08-15,14:00:00,Newcastle,West Ham,2,4,2.0,1.0,A,H,3.2,3.5,2.2,1.99,1.94
E0,2021-08-15,16:30:00,Tottenham,Man City,1,0,0.0,0.0,H,D,5.5,4.2,1.6,1.89,2.04
E0,2021-08-21,12:30:00,Liverpool,Burnley,2,0,1.0,0.0,H,H,1.18,7.5,13.0,1.53,2.5
E0,2021-08-21,15:00:00,Aston Villa,Newcastle,2,0,1.0,0.0,H,H,1.8,3.75,4.33,1.72,2.1
E0,2021-08-21,15:00:00,Crystal Palace,Brentford,0,0,0.0,0.0,D,D,2.55,3.2,2.87,2.3,1.61
E0,2021-08-21,15:00:00,Leeds,Everton,2,2,1.0,1.0,D,D,2.37,3.4,3.0,1.72,2.1
E0,2021-08-21,15:00:00,Man City,Norwich,5,0,2.0,0.0,H,H,1.08,11.0,26.0,1.33,3.4
E0,2021-08-21,17:30:00,Brighton,Watford,2,0,2.0,0.0,H,H,1.7,3.5,5.75,2.2,1.66
E0,2021-08-22,14:00:00,Southampton,Man United,1,1,1.0,0.0,D,H,5.5,4.2,1.57,1.72,2.1
E0,2021-08-22,14:00:00,Wolves,Tottenham,0,1,0.0,1.0,A,A,3.2,3.2,2.35,2.2,1.66
E0,2021-08-22,16:30:00,Arsenal,Chelsea,0,2,0.0,2.0,A,A,4.75,3.75,1.72,2.1,1.72
E0,2021-08-23,20:00:00,West Ham,Leicester,4,1,1.0,0.0,H,H,2.5,3.5,2.75,1.8,2.0
E0,2021-08-28,12:30:00,Man City,Arsenal,5,0,3.0,0.0,H,H,1.25,6.0,12.0,1.57,2.37
E0,2021-08-28,15:00:00,Aston Villa,Brentford,1,1,1.0,1.0,D,D,1.95,3.6,3.8,1.9,1.9
E0,2021-08-28,15:00:00,Brighton,Everton,0,2,0.0,1.0,A,A,2.3,3.2,3.3,2.2,1.66
E0,2021-08-28,15:00:00,Newcastle,Southampton,2,2,0.0,0.0,D,D,2.5,3.4,2.8,1.85,2.05
E0,2021-08-28,15:00:00,Norwich,Leicester,1,2,1.0,1.0,A,D,4.5,3.5,1.85,1.8,2.0
