Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,B365>2.5
E0,30/09/2024,20:00,Bournemouth,Southampton,3,1,1.5
I2,30/09/2024,18:30,Sudtirol,Palermo,1,3,2.35
I2,30/09/2024,19:30,Brescia,Cremonese,3,2,2.1
I1,30/09/2024,19:45,Parma,Cagliari,2,3,1.73
SP1,30/09/2024,20:00,Villarreal,Las Palmas,3,1,1.53
SP2,30/09/2024,19:30,Santander,Cartagena,1,2,1.88
F2,30/09/2024,19:45,Guingamp,Caen,3,1,2.05
E0,29/09/2024,14:00,Ipswich,Aston Villa,2,2,1.73
E0,29/09/2024,16:30,Man United,Tottenham,0,3,1.44
E1,29/09/2024,15:00,Swansea,Bristol City,1,1,1.9
I2,29/09/2024,14:00,Cesena,Mantova,4,2,1.85
I2,29/09/2024,14:00,Juve Stabia,Pisa,2,0,2.25
I2,29/09/2024,14:00,Modena,Sampdoria,1,3,2.35
I2,29/09/2024,14:00,Salernitana,Catanzaro,0,0,1.83
I1,29/09/2024,11:30,Torino,Lazio,2,3,2.2
I1,29/09/2024,14:00,Como,Verona,3,2,2.1
I1,29/09/2024,14:00,Roma,Venezia,2,1,1.73
I1,29/09/2024,17:00,Empoli,Fiorentina,0,0,2.2
I1,29/09/2024,19:45,Napoli,Monza,2,0,1.73
SP1,29/09/2024,13:00,Celta,Girona,1,1,1.67
SP1,29/09/2024,15:15,Ath Bilbao,Sevilla,1,1,2.04
SP1,29/09/2024,17:30,Betis,Espanol,1,0,2
SP1,29/09/2024,20:00,Ath Madrid,Real Madrid,1,1,1.8
SP2,29/09/2024,13:00,Levante,Almeria,4,2,1.7
SP2,29/09/2024,15:15,Burgos,Granada,2,2,2.03
SP2,29/09/2024,15:15,Castellon,Tenerife,2,1,1.88
SP2,29/09/2024,17:30,Cordoba,Ferrol,3,1,2.35
SP2,29/09/2024,17:30,Oviedo,Eibar,1,0,2.5
F1,29/09/2024,14:00,Toulouse,Lyon,1,2,1.84
F1,29/09/2024,16:00,Angers,Reims,1,3,2.08
F1,29/09/2024,16:00,Nantes,St Etienne,2,2,2.02
F1,29/09/2024,19:45,Strasbourg,Marseille,1,0,1.57
E0,28/09/2024,12:30,Newcastle,Man City,1,1,1.5
E0,28/09/2024,15:00,Arsenal,Leicester,4,2,1.5
E0,28/09/2024,15:00,Brentford,West Ham,1,1,1.67
E0,28/09/2024,15:00,Chelsea,Brighton,4,2,1.5
E0,28/09/2024,15:00,Everton,Crystal Palace,2,1,1.88
E0,28/09/2024,15:00,Nott'm Forest,Fulham,0,1,2.02
E0,28/09/2024,17:30,Wolves,Liverpool,1,2,1.44
E1,28/09/2024,12:30,Blackburn,QPR,2,0,1.95
E1,28/09/2024,12:30,Derby,Norwich,2,3,1.98
E1,28/09/2024,12:30,Sheffield Weds,West Brom,3,2,2.1
E1,28/09/2024,15:00,Hull,Cardiff,4,1,1.93
E1,28/09/2024,15:00,Leeds,Coventry,3,0,1.67
E1,28/09/2024,15:00,Middlesbrough,Stoke,2,0,1.73
E1,28/09/2024,15:00,Millwall,Preston,3,1,2.38
E1,28/09/2024,15:00,Oxford,Burnley,0,0,1.93
E1,28/09/2024,15:00,Portsmouth,Sheffield United,0,0,1.83
E1,28/09/2024,15:00,Watford,Sunderland,2,1,2
I2,28/09/2024,14:00,Bari,Cosenza,1,1,2.25
I2,28/09/2024,14:00,Carrarese,Reggiana,0,0,2.25
I2,28/09/2024,14:00,Sassuolo,Spezia,0,0,2.03
E3,28/09/2024,12:30,Harrogate,Bradford,2,1,1.9
E3,28/09/2024,12:30,Walsall,Colchester,4,0,1.93
E3,28/09/2024,15:00,Bromley,Milton Keynes Dons,1,1,1.7
E3,28/09/2024,15:00,Carlisle,Grimsby,2,3,1.93
E3,28/09/2024,15:00,Cheltenham,Fleetwood Town,0,2,1.85
E3,28/09/2024,15:00,Doncaster,Chesterfield,0,3,1.88
E3,28/09/2024,15:00,Gillingham,Barrow,2,0,2.2
E3,28/09/2024,15:00,Morecambe,Notts County,1,1,1.6
E3,28/09/2024,15:00,Newport County,Crewe,2,1,2
E3,28/09/2024,15:00,Port Vale,Swindon,2,1,1.9
E2,28/09/2024,12:30,Crawley Town,Bolton,0,2,1.73
E2,28/09/2024,12:30,Reading,Huddersfield,2,1,1.73
E2,28/09/2024,15:00,Birmingham,Peterboro,3,2,1.53
E2,28/09/2024,15:00,Blackpool,Burton,3,0,1.65
E2,28/09/2024,15:00,Bristol Rvs,Wycombe,1,2,1.93
E2,28/09/2024,15:00,Cambridge,Lincoln,0,2,2.05
E2,28/09/2024,15:00,Leyton Orient,Wrexham,0,0,1.95
E2,28/09/2024,15:00,Northampton,Mansfield,0,2,1.75
E2,28/09/2024,15:00,Shrewsbury,Rotherham,1,1,2.03
E2,28/09/2024,15:00,Stevenage,Charlton,1,0,2.25
E2,28/09/2024,15:00,Wigan,Exeter,0,0,2.05
E2,28/09/2024,19:45,Barnsley,Stockport,1,1,1.73
I1,28/09/2024,14:00,Udinese,Inter,2,3,1.73
I1,28/09/2024,17:00,Genoa,Juventus,0,3,2.3
I1,28/09/2024,19:45,Bologna,Atalanta,1,1,2.02
SP1,28/09/2024,13:00,Getafe,Alaves,2,0,3.2
SP1,28/09/2024,15:15,Vallecano,Leganes,1,1,3
SP1,28/09/2024,17:30,Sociedad,Valencia,3,0,2.63
SP1,28/09/2024,20:00,Osasuna,Barcelona,4,2,1.53
SP2,28/09/2024,15:15,Cadiz,Eldense,1,2,2.35
SP2,28/09/2024,15:15,Mirandes,Huesca,1,0,3.1
SP2,28/09/2024,17:30,Sp Gijon,Zaragoza,1,0,2.5
SP2,28/09/2024,20:00,Malaga,Elche,0,3,2.4
F2,28/09/2024,13:00,Red Star,Paris FC,1,3,2.05
F2,28/09/2024,19:00,Troyes,Metz,2,1,2.05
F1,28/09/2024,16:00,Lens,Nice,0,0,2.1
F1,28/09/2024,18:00,Le Havre,Lille,0,3,2.08
F1,28/09/2024,20:00,Monaco,Montpellier,2,1,1.44
E1,27/09/2024,20:00,Plymouth,Luton,3,1,1.62
I2,27/09/2024,19:30,Cittadella,Frosinone,1,2,2.15
E3,27/09/2024,19:45,Tranmere,Salford,0,0,2.05
I1,27/09/2024,19:45,Milan,Lecce,3,0,1.5
SP1,27/09/2024,20:00,Valladolid,Mallorca,1,2,3
SP2,27/09/2024,19:30,Albacete,La Coruna,2,5,1.95
F2,27/09/2024,19:00,Amiens,Rodez,2,1,2.05
F2,27/09/2024,19:00,Bastia,Annecy,2,2,2.6
F2,27/09/2024,19:00,Grenoble,Clermont,3,0,2.05
F2,27/09/2024,19:00,Laval,Pau FC,3,1,2.2
F2,27/09/2024,19:00,Lorient,Ajaccio,3,0,2.05
F2,27/09/2024,19:00,Martigues,Dunkerque,1,1,2.25
F1,27/09/2024,18:00,Auxerre,Brest,3,0,1.93
F1,27/09/2024,20:00,Paris SG,Rennes,3,1,1.57
